backstreet boys;larger than life
hunter hayes;everybodys got somebody but me
r. kelly;i believe i can fly
christina aguilera;firework
whitney houston;i wanna dance with somebody who loves me
elton john;can you feel the love tonight
one direction;what makes you beautiful
meghan trainor;all about that bass
r. kelly;i believe i can fly
hunter hayes;everybodys got somebody but me
one direction;what makes you beautiful
whitney houston;i wanna dance with somebody who loves me
elton john;can you feel the love tonight
christina aguilera;firework
mika;grace kelly
christina aguilera;shake it off
mary poppins;a spoonful of sugar
meghan trainor;all about that bass
backstreet boys;larger than life
hunter hayes;everybodys got somebody but me
christina aguilera;everything has changed
phineas and ferb;today is gonna be a great day
shania twain;that dont impress me much
elton john;can you feel the love tonight
christina aguilera;22
ne-yo;one in a million
frozen;love is an open door
christina aguilera;amnesia
celine dion;beauty and the beast
ed sheeran;dont
high school musical 2;all for one
christina aguilera;the best of both worlds
the lion king;i just cant wait to be king
phil collins;on my way
christina aguilera;say something
;
;
;
;
;
;
;
;
george ezra;budapest
5 seconds of summer;don't stop
shania twain;that don't impress me much
one direction;moments
aladdin;a whole new world
bryan adams;here i am
one direction;best song ever
taylor swift;you belong with me
avril lavigne;when you're gone
